rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;ips
2018-2019;CORSE;02B;HAUTE-CORSE;7200427B;ECOLE PRIMAIRE TOUSSAINT MASSONI BIGUGLIA;2B037;BIGUGLIA;public;108.5
2018-2019;CORSE;02B;HAUTE-CORSE;7200440R;ECOLE PRIMAIRE MARANA LUCCIANA;2B148;LUCCIANA;public;112.5
2018-2019;CORSE;02B;HAUTE-CORSE;7200574L;ECOLE PRIMAIRE MACINAGGIO ROGLIANO;2B261;ROGLIANO;public;94.1
2018-2019;CORSE;02B;HAUTE-CORSE;7200627U;ECOLE PRIMAIRE M REYNOARD BASTIA;2B033;BASTIA;public;76.1
2018-2019;CORSE;02B;HAUTE-CORSE;7200686H;ECOLE PRIMAIRE TAGLIO ISOLACCIO;2B318;TAGLIO ISOLACCIO;public;92.7
2018-2019;CORSE;02B;HAUTE-CORSE;7200706E;ECOLE PRIMAIRE PRUNELLI DI FIUMORBU;2B251;PRUNELLI DI FIUMORBO;public;88.7
2018-2019;GUADELOUPE;971;GUADELOUPE;9710098E;ECOLE PRIMAIRE AUGUSTE FELER;97133;VIEUX FORT;public;94.0
2018-2019;GUADELOUPE;971;GUADELOUPE;9710101H;ECOLE PRIMAIRE LUCE JOSEPH;97109;GOURBEYRE;public;77.6
2018-2019;GUADELOUPE;971;GUADELOUPE;9710165C;ECOLE PRIMAIRE JOSEPH THEODORE FAUSTIN 2;97101;LES ABYMES;public;81.5
2018-2019;GUADELOUPE;971;GUADELOUPE;9710189D;ECOLE PRIMAIRE RAPHAEL CIPOLIN;97120;POINTE A PITRE;public;66.9
2018-2019;GUADELOUPE;971;GUADELOUPE;9710193H;ECOLE PRIMAIRE LOUIS ANDREA 2;97103;BAIE MAHAULT;public;80.2
2018-2019;GUADELOUPE;971;GUADELOUPE;9710210B;ECOLE PRIMAIRE MARIE AMELIE LEYDET;97801;SAINT MARTIN;public;83.9
2018-2019;GUADELOUPE;971;GUADELOUPE;9710212D;ECOLE PRIMAIRE JOSEPH JUDITH ST FRANCOIS;97125;SAINT FRANCOIS;public;96.4
2018-2019;GUADELOUPE;971;GUADELOUPE;9710215G;ECOLE PRIMAIRE CHRISTOPHE PROTO;97125;SAINT FRANCOIS;public;86.6
2018-2019;GUADELOUPE;971;GUADELOUPE;9710265L;ECOLE PRIMAIRE ALBERT LAZARD;97128;SAINTE ANNE;public;88.1
2018-2019;GUADELOUPE;971;GUADELOUPE;9710367X;ECOLE PRIMAIRE CASTEL;97115;LAMENTIN;public;98.1
2018-2019;GUADELOUPE;971;GUADELOUPE;9710370A;ECOLE PRIMAIRE FRANCOIS AUGUSTE;97114;GOYAVE;public;78.3
2018-2019;GUADELOUPE;971;GUADELOUPE;9710449L;ECOLE PRIMAIRE PRIVEE EXTERNAT SAINT JOSEPH DU MOULE;97117;LE MOULE;privé sous contrat;98.7
2018-2019;GUADELOUPE;971;GUADELOUPE;9710452P;ECOLE PRIMAIRE PRIVEE EXTERNAT SAINT JOSEPH DE CLUNY;97124;SAINT CLAUDE;privé sous contrat;111.9
2018-2019;GUADELOUPE;971;GUADELOUPE;9710455T;ECOLE ELEMENTAIRE PRIVEE DU SACRE COEUR;97101;LES ABYMES;privé sous contrat;102.4
2018-2019;GUADELOUPE;971;GUADELOUPE;9710459X;ECOLE PRIMAIRE PRIVEE VERSAILLES;97105;BASSE TERRE;privé sous contrat;104.6
2018-2019;GUADELOUPE;971;GUADELOUPE;9710507Z;ECOLE PRIMAIRE COCOYER;97117;LE MOULE;public;81.9
2018-2019;GUADELOUPE;971;GUADELOUPE;9710509B;ECOLE PRIMAIRE KAWANN;97125;SAINT FRANCOIS;public;107.5
2018-2019;GUADELOUPE;971;GUADELOUPE;9710520N;ECOLE PRIMAIRE GALET MALENDURE;97106;BOUILLANTE;public;85.1
2018-2019;GUADELOUPE;971;GUADELOUPE;9710523S;ECOLE PRIMAIRE ILET PEROU;97107;CAPESTERRE BELLE EAU;public;88.3
2018-2019;GUADELOUPE;971;GUADELOUPE;9710526V;ECOLE PRIMAIRE MINATCHY LEONCE;97107;CAPESTERRE BELLE EAU;public;90.8
2018-2019;GUADELOUPE;971;GUADELOUPE;9710532B;ECOLE PRIMAIRE BEAUSEJOUR;97110;LA DESIRADE;public;84.1
2018-2019;GUADELOUPE;971;GUADELOUPE;9710535E;ECOLE PRIMAIRE PLIANE;97113;LE GOSIER;public;89.2
2018-2019;GUADELOUPE;971;GUADELOUPE;9710538H;ECOLE ELEMENTAIRE MAXIME DONGAL;97112;GRAND BOURG;public;94.7
2018-2019;GUADELOUPE;971;GUADELOUPE;9710540K;ECOLE PRIMAIRE PIERRETTE;97115;LAMENTIN;public;86.0
